Date,Open,Highest,Lowest,Close, Volume
2003-04-30,2395.72,3004.79,2395.72,2942.04,4226442352
2003-05-31,2938.72,3068.08,2769.45,2982.68,4037091496
2003-06-30,2990.93,3324.44,2990.93,3220.58,4523873352
2003-07-31,3217.21,3487.86,3119.35,3487.86,4575767744
2003-08-31,3481.81,3588.53,3299.77,3484.58,3518080040
2003-09-30,3493.34,3676.88,3202.87,3256.78,4510404320
2003-10-31,3255.76,3675.78,3217.4,3655.99,4294085784
2003-11-30,3657.61,3814.21,3576.52,3745.95,3831690040
2003-12-31,3752.72,3996.28,3752.72,3965.16,3385887312
2004-01-31,3969.04,4175.48,3969.04,4058.6,4619936792
2004-02-29,4062.79,4150.56,3960.41,4018.16,3715298136
2004-03-31,4026.19,4163.19,3692.4,3856.7,5373355000
2004-04-30,3858.34,4156.89,3857.04,3985.21,4103307720
2004-05-31,3972.88,4029.32,3710.02,3921.41,3732145020
2004-06-30,3924.3,4090.75,3856.04,4052.73,3577939840
2004-07-31,4078.36,4101.52,3749.04,3895.61,3671900024
2004-08-31,3891.18,3891.78,3618.58,3785.21,3665514248
2004-09-30,3794.17,4000.13,3792.25,3892.9,3793084456
2004-10-31,3895.15,4078.5,3838.98,3960.25,4119450240
2004-11-30,3961.18,4219.05,3959.25,4126,4113903384
2004-12-31,4108.55,4272.18,4107.62,4256.08,3311100592
2005-01-31,4260.92,4325.77,4160.83,4254.85,4400471728
2005-02-28,4256.65,4409.09,4249.69,4350.49,4029762272
2005-03-31,4345.24,4435.31,4275.55,4348.77,4256980320
2005-04-30,4348.03,4422.88,4157.51,4184.84,4350029552
2005-05-31,4208.63,4482.02,4205.05,4460.63,4091042240
2005-06-30,4467.32,4637.34,4467.04,4586.28,4787136768
2005-07-31,4584.44,4913.02,4444.94,4886.5,4527064224
2005-08-31,4882.39,4990.57,4726.33,4829.69,4393875032
2005-09-30,4846.66,5061.84,4816.67,5044.12,4716475024
2005-10-31,5060.99,5138.02,4762.75,4929.07,4581824480
2005-11-30,4922.91,5241,4891.62,5193.4,4643915328
2005-12-31,5210.54,5469.96,5208.49,5408.25,3506950216
2006-01-31,5410.24,5697,5290.49,5674.14,4973806256
2006-02-28,5662.05,5916.79,5598.04,5796.04,4301694208
2006-03-31,5806.96,5993.89,5664.18,5970.08,5356717104
2006-04-30,5989.08,6121.95,5860.5,6009.89,4276144688
2006-05-31,6014.37,6162.37,5513.43,5692.85,5856633208
2006-06-30,5677.52,5778.77,5243.71,5683.31,5601788560
2006-07-31,5688,5729.58,5365.06,5681.97,4092331776
2006-08-31,5678,5886.77,5557.58,5859.56,5053352192
2006-09-30,5861.25,6031.54,5737.2,6004.33,4876677104
2006-10-31,6019.33,6304.77,5944.56,6268.91,4596704336
2006-11-30,6262.71,6497.06,6201,6309.18,5147706464
2006-12-31,6322.18,6629.33,6195.81,6596.91,3784359848
2007-01-31,6614.73,6805.08,6531.25,6789.1,5968353312
2007-02-28,6821.31,7040.2,6640.99,6715.43,5204280984
2007-03-31,6714.25,6965.83,6444.7,6917.02,7016554512
2007-04-30,6911.12,7436.29,6891.79,7408.87,4823642088
2007-05-31,7429.93,7895.71,7304.6,7883.04,6089044096
2007-06-30,7891.2,8131.73,7499.43,8007.31,6876473888
2007-07-31,7969.27,8151.56,7372.89,7584.14,5705140032
2007-08-31,7472.35,7659.72,7190.35,7638.16,5323494608
2007-09-30,7643.64,7882.18,7369.7,7861.5,5388431120
2007-10-31,7851.29,8063.83,7763.64,8019.22,5853483152
2007-11-30,8024.41,8038.41,7444.62,7870.52,6649040576
2007-12-31,7859.39,8117.79,7777.39,8067.31,4224798224
2008-01-31,8045.97,8100.64,6384.39,6851.75,6434261136
2008-02-29,6896.19,7079.74,6655.65,6748.13,3512761096
2008-03-31,6692.98,6720.16,6167.82,6534.97,3648856072
2008-04-30,6519.02,6966.47,6496.94,6948.82,3061669920
2008-05-31,6982.06,7231.86,6905.86,7096.79,2702019748
2008-06-30,7098.7,7102.05,6308.24,6418.32,3107071976
2008-07-31,6394.08,6577.1,5999.32,6479.56,3931671936
2008-08-31,6461.01,6626.7,6219.1,6422.3,2626629652
2008-09-30,6400.85,6553.9,5658.2,5831.02,4644012736
2008-10-31,5865.08,5876.93,4014.6,4987.97,8597750080
2008-11-30,5053.94,5302.57,4034.96,4669.44,3294708832
2008-12-31,4653.12,4850.39,4304.03,4810.2,3033000800
2009-01-31,4856.85,5111.02,4067.43,4338.35,3164270288
2009-02-28,4309.17,4688.59,3764.69,3843.74,2815267128
2009-03-31,3817.51,4272.12,3588.89,4084.76,3475893045
2009-04-30,4074.79,4837.05,3997.46,4769.45,2918125614
2009-05-31,4790.03,5060.76,4653.25,4940.82,2478791953
2009-06-30,4992.1,5177.59,4669.8,4808.64,2199589301
2009-07-31,4820.61,5396.95,4524.01,5332.14,2117383986
2009-08-31,5330.87,5575.53,5158.6,5464.61,1808274064
2009-09-30,5479.35,5760.83,5263.11,5675.16,2445835134
2009-10-31,5681.88,5888.21,5394.8,5414.96,2839360549
2009-11-30,5410.61,5843.27,5312.64,5625.95,2328656797
2009-12-31,5653.88,6026.69,5605.43,5957.43,1885637479
2010-01-31,5975.52,6094.26,5540.33,5608.79,2622377206
2010-02-28,5587.5,5743.89,5433.02,5598.46,2597843222
2010-03-31,5652.85,6203.5,5641.18,6153.55,2545565117
2010-04-30,6189.38,6341.52,6024.01,6135.7,2725526963
2010-05-31,6122.76,6276.8,5607.68,5964.33,3888514248
2010-06-30,5943.94,6330.81,5798.76,5965.52,2616461883
2010-07-31,5885.61,6253.64,5809.37,6147.97,2214408650
2010-08-31,6187.64,6386.97,5833.51,5925.22,2097355445
2010-09-30,5936.94,6339.97,5876.43,6229.02,2449547830
2010-10-31,6244.06,6668.54,6115.87,6601.37,2168915037
2010-11-30,6637.09,6907.61,6586.01,6688.49,2331507333
2010-12-31,6748.36,7087.84,6736.69,6914.19,1794678005
2011-01-31,6973.39,7180.15,6835.74,7077.48,2362321307
2011-02-28,7133.34,7441.82,7093.91,7272.32,2119345638
2011-03-31,7309.8,7356.33,6483.39,7041.31,2996883764
2011-04-30,7086.56,7514.69,6994.56,7514.46,2418035189
2011-05-31,7570.86,7600.41,7071.42,7293.69,3554795797
2011-06-30,7310.56,7378.35,6995.4,7376.24,3215360956
2011-07-31,7374.49,7523.53,7001.88,7158.77,3292693324
2011-08-31,7254.5,7282.01,5345.36,5784.85,5610800980
2011-09-30,5793.1,5794.5,4967.59,5502.02,4649823722
2011-10-31,5311.93,6430.6,5125.44,6141.34,3736558785
2011-11-30,5934.54,6192.25,5366.5,6088.84,4073300801
2011-12-31,6080.48,6170.04,5637.53,5898.35,2996362409
2012-01-31,5900.18,6574.19,5900.18,6458.91,3829221229
2012-02-29,6482.95,6971.03,6482.56,6856.08,3638816188
2012-03-31,6831.97,7194.33,6612.61,6946.83,3738004077
2012-04-30,6973.99,7081.06,6499.07,6761.19,3205428767
2012-05-31,6861.3,6875.87,6208.09,6264.38,3313192880
2012-06-30,6259.76,6427.49,5914.43,6416.28,3383953438
2012-07-31,6405.39,6835.19,6324.53,6772.26,3146666153
2012-08-31,6775.99,7105.43,6596.21,6970.79,2803906019
